Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
3,Cooperatives,Koperasi Sabah,,,,,,,
3,Cooperatives,Koperasi Sarawak,,,,,,,
3,Cooperatives,Koperasi Selangor,,,,,,,
3,Cooperatives,Koperasi Tentera Malaysia,,,,,,,
3,Cooperatives,Koperasi Terengganu,,,,,,,
5,GLC-Linked,Kumpulan Wang Simpanan Pekerja (KWSP),"Jasmine Goh (Head of Digital Security) [kwsp.gov.my via Wayback, MEDIUM-75]","Mohd Dali Jasmin (Head of Integrity & Corporate Governance) [kwsp.gov.my via Wayback, MEDIUM-75]","Mohamad Hafiz Kassim (Chief Finance Officer) [kwsp.gov.my via Wayback, MEDIUM-75]","Rozlina Abd Samad (Head of Risk Management) [kwsp.gov.my via Wayback, MEDIUM-75]","Chong Yee Leng (Head of Operational Compliance) [kwsp.gov.my via Wayback, MEDIUM-75]","Afhzal Abdul Rahman (Chief Digital Technology Officer) [kwsp.gov.my via Wayback, MEDIUM-75]","Mohammad Nasir Ismail (Head of Internal Audit) [kwsp.gov.my via Wayback, MEDIUM-75]"
2,Insurers,Kurnia Insurans (Malaysia) Berhad,,,,,,,
3,Development FIs,LPPSA,,,,,,,
5,GLC-Linked,Lembaga Tabung Haji,CEO: Mustakim Mohamad (since 6 May 2025); Prev CEO: Datuk Syed Hamadah Syed Othman (ended 5 May 2025) [News: bharian.com.my],,"Mustakim Mohamad (was Group Exec Dir Finance/CFO, now CEO since 6 May 2025) [Official: bharian.com.my, hmetro.com.my]",,,,
2,Insurers,Liberty General Insurance Berhad,,Jonathan Chong (CRO) + Suffian bin Abdul Rahman (Compliance) [Group-level composite],Suppiah Poongavanam (Chief Financial Officer) [Wayback Machine: libertyinsurance.com.my],Jonathan Chong (Chief Risk Officer) [Wayback Machine: libertyinsurance.com.my],Suffian bin Abdul Rahman (Chief Compliance Officer) [Wayback Machine: libertyinsurance.com.my],Ganesan Vaithilingam (Chief Information Officer) [Wayback Machine: libertyinsurance.com.my],Tan Bee Chuan (Chief Internal Auditor) [Wayback Machine: libertyinsurance.com.my]
2,Insurers,Lonpac Insurance Bhd,Lai Geng Farn (Chief Information Security Officer) [Official: lonpac.com],Lee Chiew Lai (CRO) + Mahinder Kaur a/p Kapal Singh (Compliance) [Composite],,Lee Chiew Lai (Chief Risk Officer) [Official: lonpac.com],Mahinder Kaur a/p Kapal Singh (Chief Compliance Officer) [Official: lonpac.com],Cynthia Ng Boon Howe (Chief Information Officer) [Official: lonpac.com],
4,E-Money,MAE by Maybank (Maybank Islamic),,,,,,,
4,E-Money,MAE by Maybank (Maybank2u),,,,,,,
3,Development FIs,MARA,,,,,,,
5,GLC-Linked,MARA (Majlis Amanah Rakyat),,,,,,,
2,Insurers,MCIS Insurance Berhad,,,Susan Conradie (Chief Financial Officer) [Official: mcis.my],,Norlin Fatima Albakri (Chief Compliance Officer) [Official: mcis.my],Ng Chee Sang (Chief Technology Officer) [Official: mcis.my],Noor Hayati binti Abu Yaziz (Chief Internal Auditor) [Official: mcis.my]
2,Investment Banks,MIDF Amanah Investment Bank Berhad,,Nor Azita Binti Sarip (SVP/Head Group Secretarial & Legal) [Official: midf.com.my],,,Meor Ibrahim Othman (SVP/Head Group Compliance) [Official: midf.com.my],,Zanariah Daud (SVP/Head Group Control Assurance) [Official: midf.com.my]
2,Insurers,MSIG Insurance (Malaysia) Bhd,,,"Soh Lai Sim (COO, also Officer primarily responsible for financial management) [Official: MSIG Annual Report 2025]","Kelvin Hii Chee Yun (SVP, Enterprise Risk Management) [Official: MSIG Annual Report 2025]",,"Chin Jee Gwan (EVP IT, Digital, Bancassurance & Branding) [Official: MSIG Annual Report 2025]",
2,Investment Banks,Malaysia International Islamic Bank IB,,,,,,,
2,Insurers,Manulife Insurance Berhad,Group CEO: Vibha Hamsi Coburn (Manulife Holdings Berhad, since 1 Oct 2020) [Official: manulife.com.my],"Jasbender Kaur (Chief Counsel & Corporate Services Officer, 15.5yrs tenure) [SimplyWall.st]",,,Senthil Woon (Chief Compliance Officer) [RocketReach],
2,Takaful,Manulife Takaful Malaysia Berhad,Group CEO: Vibha Hamsi Coburn (Manulife Holdings Berhad, since 1 Oct 2020) [Official: manulife.com.my],,,,,
5,GLC-Linked,Maybank (Khazanah-linked),,,,,,,
1,Licensed Banks,Maybank Berhad,Devinder Singh (Group CISO) [LinkedIn/The Org],Mohamed Rezwan Abdullah Ismail (Group CRO) + Inn Yiow (Group CCO) [Group-level: Maybank],Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow (Group Chief Compliance Officer) [RocketReach/ZoomInfo],Giorgio Migliarina (Group Chief Technology & Digital Officer),Azian Ismail (Chief Audit Executive) [TheOrg]
4,Card Schemes,Maybank Cash & Go Prepaid Card,,,,,,,
2,Investment Banks,Maybank Investment Bank Berhad,,,"Ezrina Mahadzir (CFO, appointed 1 Apr 2021) [Official: maybank2u.com.my]","Cheryl Cheng Siew Ying (CRO, appointed 1 Jan 2021) [Official: maybank2u.com.my]",,"Adrian Tan Kai Thern (Head of IT, joined 25 Apr 2022) [Official: maybank2u.com.my]",
1,Licensed Banks,Maybank Islamic Berhad,Devinder Singh (Group CISO) [Group-level: Maybank],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank],Shafiq Abdul Jabbar (Group CFO) [Group-level: Maybank],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank],Inn Yiow (Group Chief Compliance Officer) [Group-level: Maybank],Giorgio Migliarina (Group Chief Technology & Digital Officer) [Group-level: Maybank],"Malique Firdauz Ahmad Sidique (Group Chief Audit Executive, Maybank Group) [Official: freemalaysiatoday.com, conf 85 - Group-level, effective Oct 2025]"
4,Card Schemes,Maybank Singapore Airlines Enrich Card,,,,,,,
4,Payment Operators,Me2U (by PayNet),,,,,,,
1,Licensed Banks,Mizuho Bank (Malaysia) Berhad,"CEO: Daisuke Ihara (Executive Director/CEO, appointed 1 Jul 2026, Certified AML Specialist) [Official: mizuhogroup.com Profile of Directors PDF, conf 95]; Chairman: Dato Dr Zaha Rina binti Zahari",,,,,,
3,MSBs,Money Match Sdn Bhd,,,,,,,
3,MSBs,MoneyMatch Sdn Bhd,,,,,,,
1,Licensed Banks,OCBC Bank (Malaysia) Berhad,Dominic Yew,Dr Priya Ranjan Sharma (CRO) + Doreen Keng Chun Ching (Compliance) [Group-level: OCBC],Ms Teoh Yin Meng,Dr Priya Ranjan Sharma,Ms Doreen Keng Chun Ching,Mr Hong Hee Loon (Head of Technology),Mr Victor Ong Hock Seng
5,GLC-Linked,PNB Capital Berhad,,,,,,,
5,GLC-Linked,PNB Equity Fund Berhad,,,,,,,
5,GLC-Linked,PNB Income Fund Berhad,,,,,,,
3,Development FIs,PUNB,,"Ahmad Faisal Mohd Basir (Head, Company Secretary & Governance) [Official: punb.com.my]","Azman Abdullah (General Manager, Finance & Transformation Division) [Official: punb.com.my]","Mohd Sulaiman Khazali (Head, Internal Audit & Risk Management) [Official: punb.com.my]","Norasyikin Mansor (Head, Legal Affairs) [Official: punb.com.my]",,"Mohd Sulaiman Khazali (Head, Internal Audit & Risk Management) [Official: punb.com.my]"
4,Payment Operators,PayDirect (by PayNet),,,,,,,
4,Payment Operators,PayNet (PayNet Malaysia Sdn Bhd),,,Tan Wei Tze|Chief Financial Officer|95|https://www.paynet.my/about-us/corporate-profile/leadership.html|PayNet CFO,,,Teh Lip Guan|Chief Technology Officer|95|https://www.paynet.my/about-us/corporate-profile/leadership.html|PayNet CTO (maps to CIO/CTO role),
4,Card Schemes,PayNet Card (by PayNet),,,,,,,
5,GLC-Linked,Penang State Development Corporation (PSDC),,,,,,,
5,GLC-Linked,Permodalan BSN Berhad (PBSNB),,,,,,,
5,GLC-Linked,Permodalan Nasional Berhad (PNB),,"Sahlawati Mustafa (Group Head, Compliance & Integrity) [pnb.com.my, HIGH-90]","Mohd Irwan Ahmad Mustafa (Group Chief Strategy & Financial Officer) [pnb.com.my, HIGH-90]","Mohd Azmir Mohd Jani (Chief Risk Officer) [pnb.com.my, HIGH-90]","Sahlawati Mustafa (Group Head, Compliance & Integrity) [pnb.com.my, HIGH-90]",,"Noramly Bachok @ Abdul Aziz (Group Head, Internal Audit) [pnb.com.my, HIGH-90]"
5,GLC-Linked,Permodalan Negeri Selangor Berhad (PNSB),,,,,,,
2,Investment Banks,Phillip Securities (Malaysia) Sdn Bhd,,,,,,,
2,Insurers,Prudential Assurance Malaysia Berhad,CEO: Kelvin Ang (appointed Sep 2025); Chairman: Dato Seri Dr Md Hamzah bin Md Kassim [Official: prudential.com.my],Kamarul Hisham (CRO) + Idariah Idris (Compliance) [Composite],Ankur Bassi (Chief Financial Officer) [LinkedIn + TheOfficialBoard],Kamarul Hisham (Chief Risk Officer) [RocketReach],Idariah Idris (Head of Compliance) [RocketReach],,
2,Takaful,Prudential BSN Takaful Berhad,,,Kelvin Wong (Officer-in-Charge cum CFO) [Official: prubsn.com.my],,,,
1,Licensed Banks,Public Bank Berhad,,Loh Jasmine (CRO) + Tan Shien Doon (Compliance) [Group-level composite],Yik Sook Ling (CFO),Loh Jasmine (CRO),Tan Shien Doon (CCO, Public Bank Group) [Official: publicbankgroup.com],Fam Yoke Fong (Senior GM
2,Investment Banks,Public Investment Bank Berhad,,Jasmine Loh Sook Ling (CRO) + Tan Shien Doon (Compliance) [Group-level composite],"Yik Sook Ling (CFO, Public Bank Group) [Official: publicbankgroup.com]","Jasmine Loh Sook Ling (CRO, Public Bank Group) [Official: publicbankgroup.com]","Tan Shien Doon (CCO, Public Bank Group) [Official: publicbankgroup.com]","Fam Yoke Fong (Senior GM, IT, Public Bank Group) [Official: publicbankgroup.com]","Lim Then Fui (Group Chief Internal Auditor, Public Bank Group) [Official: publicbankgroup.com]"
1,Licensed Banks,Public Islamic Bank Berhad,,Loh Jasmine (CRO) + Tan Shien Doon (Compliance) [Group-level composite],Yik Sook Ling (CFO) [Group-level: Public Bank],Loh Jasmine (CRO) [Group-level: Public Bank],Tan Shien Doon (CCO) [Group-level: Public Bank],"Fam Yoke Fong (Senior GM, IT) [Group-level: Public Bank]",Lim Then Fui (Group Chief Internal Auditor) [Group-level: Public Bank]
2,Insurers,QBE Insurance (Malaysia) Sdn Bhd,,,"Vivien Wong (Head of Finance, joined May 2026, 25+ yrs finance leadership, CPA Australia & MIA) [Official: qbe.com/my/about-qbe/executive-team]","Mohd Farid Bin Othman (Head of Risk, joined Dec 2018, 20+ yrs internal audit/risk, MIA member) [Official: qbe.com/my/about-qbe/executive-team]","Jaysree Kaliappan (Head of Compliance, joined Jul 2025, 14+ yrs compliance/operational risk, ICA Intl Diploma in GRC) [Official: qbe.com/my/about-qbe/executive-team]",,
1,Licensed Banks,RHB Bank Berhad,Soon Yap (CISO) [LinkedIn],Azman Shah Md Yaman (Group Chief Legal & Governance Officer),Mohamed Bin Rastam Shahrom (Group CFO),Dr Chong Han Hwee (Group CRO),Fazlina Mohamed Ghazalli (Group CCO),Wong Kwang Leh (Group CTO),Tan Boon Ching (Group Chief Internal Auditor)
2,Investment Banks,RHB Investment Bank Berhad,Soon Yap (CISO) [Group-level: RHB],Azman Shah Md Yaman (Group Chief Legal & Governance Officer) [Official: rhbgroup.com],Mohamed Bin Rastam Shahrom (Group CFO) [Official: rhbgroup.com],Dr Chong Han Hwee (Group CRO) [Official: rhbgroup.com],Fazlina Mohamed Ghazalli (Group CCO) [Official: rhbgroup.com],Wong Kwang Leh (Group CTO) [Official: rhbgroup.com],Tan Boon Ching (Group Chief Internal Auditor) [Official: rhbgroup.com]
1,Licensed Banks,RHB Islamic Bank Berhad,Soon Yap (CISO) [Group-level: RHB Bank],Azman Shah Md Yaman (Group Chief Legal & Governance Officer) [Group-level: RHB Bank],Mohamed Bin Rastam Shahrom (Group CFO) [Group-level: RHB Bank],Dr Chong Han Hwee (Group CRO) [Group-level: RHB Bank],Fazlina Mohamed Ghazalli (Group CCO) [Group-level: RHB Bank],Wong Kwang Leh (Group CTO) [Group-level: RHB Bank],Tan Boon Ching (Group Chief Internal Auditor) [Group-level: RHB Bank]
4,Card Schemes,RHB Shell Visa Card,,,,,,,
4,E-Money,Razer Pay (Razer Fintech),,,,,,,
4,E-Money,Razer Pay Malaysia Sdn Bhd,,,,,,,
6,Fintech Sandbox,Ryt Bank Berhad,,,Wilson Soon|Chief Financial Officer (Acting CEO)|95|https://www.rytbank.my/about-us/|Ryt Bank CFO; acting CEO after Melvin Ooi departure,Yeoh Xin Yi|Chief Risk Officer|95|https://www.rytbank.my/about-us/|Ryt Bank CRO,Muhammad Nasir Bin Hassan|Chief Compliance Officer|95|https://www.rytbank.my/about-us/|Ryt Bank Chief Compliance Officer,Nic Ngoo|Chief Technology Officer|95|https://www.rytbank.my/about-us/|Ryt Bank CTO (maps to CIO/CTO role),
6,Fintech Sandbox,Ryt Bank Berhad (YTL Digital),,,Wilson Soon|Chief Financial Officer (Acting CEO)|95|https://www.rytbank.my/about-us/|Ryt Bank CFO; acting CEO after Melvin Ooi departure,Yeoh Xin Yi|Chief Risk Officer|95|https://www.rytbank.my/about-us/|Ryt Bank CRO,Muhammad Nasir Bin Hassan|Chief Compliance Officer|95|https://www.rytbank.my/about-us/|Ryt Bank Chief Compliance Officer,Nic Ngoo|Chief Technology Officer|95|https://www.rytbank.my/about-us/|Ryt Bank CTO (maps to CIO/CTO role),
3,Development FIs,SME Bank Berhad,,Mohammad Azam Ahmad (CRO) + Rosehamidi Kamaruddin (Compliance) [Group-level composite],"Samad Majid Zain (CFO Nov 2021 - Jun 2026, now CEO as of 1 Jul 2026) [Official: smebank.com.my]","Mohammad Azam Ahmad (Group Chief Risk Officer, BPMB) [Official: bpmb.com.my/about-us/leadership, conf 70 - BPMB Group-level]",Rosehamidi Kamaruddin (per RocketReach),"Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer, BPMB) [Official: bpmb.com.my/about-us/leadership, conf 70 - BPMB Group-level]","Hasrul Farid Hasnan (Group Chief Internal Auditor, BPMB) [Official: bpmb.com.my/about-us/leadership, conf 70 - BPMB Group-level]"
5,GLC-Linked,Sabah State Financial Corporation (SSFC),,,,,,,
5,GLC-Linked,Sarawak State Financial Corporation (SSFC),,,,,,,
6,Fintech Sandbox,SeaBank Malaysia Berhad,,,,,,,
3,MSBs,SenangPay Sdn Bhd,,,,,,,
4,E-Money,Setel (PETRONAS Dagangan),,,,,,,
4,E-Money,Setel by PETRONAS Dagangan Berhad,,,,,,,
4,E-Money,ShopeePay (Monee Malaysia),,,,,,,
4,E-Money,ShopeePay Malaysia Sdn Bhd,,,,,,,
6,Fintech Sandbox,Soft Space Sdn Bhd,,,,,,,
1,Licensed Banks,Standard Chartered Bank Malaysia Berhad,"Sivanathan Subramaniam (CISO Malaysia) [LinkedIn: linkedin.com/posts/sivanathansubramaniam, conf 75]",Ong Gaik Ean (CRO) + Irene Tan (Compliance) [Group-level composite],Mushahid Syed (Interim CEO & CFO),Ong Gaik Ean (CRO),Irene Tan (Chief Compliance Officer),Joy Chowdhury (Chief Technology & Operations Officer),Praveen Sankaranarayan (Head of Audit)
4,Card Schemes,Standard Chartered Shopee Visa Card,,,,,,,
6,Fintech Registered,Stripe Payments Malaysia Sdn Bhd,,,,,,,
1,Licensed Banks,Sumitomo Mitsui Banking Corporation Malaysia Berhad,CEO: Atsuhide Shiojiri (President/CEO, effective 30 Apr 2024) [News: theedgemalaysia.com, themalaysianreserve.com],,,,
2,Insurers,Sun Life Malaysia Assurance Berhad,CEO: Ho Teck Seng (President & CEO) [Official: sunlifemalaysia.com],,,,,,
" CEO) [Official: sunlifemalaysia.com]""",,,,,,,,,
5,GLC-Linked,Syarikat Jaminan Pembiayaan Perniagaan (SJPP),,"Juanita Rusmini binti Abdul Jalil (Acting Principal Officer) [sjpp.com.my, HIGH-80]",,,,,
2,Takaful,Syarikat Takaful Malaysia Berhad,,Shizal Fisham bin Ramli (Chief Governance Officer) [Official: takaful-malaysia.com.my],New Kheng Chee (Group CFO) [Official: takaful-malaysia.com.my],,Redzuan bin Abu (Head of Compliance) [Official: takaful-malaysia.com.my],Nazaruddin Adha bin Md Noor (CTO) [Official: takaful-malaysia.com.my],Zuhairi bin Ismail (Chief Internal Audit) [Official: takaful-malaysia.com.my]
4,E-Money,TNG Digital Sdn Bhd,,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Lai Mee Fong|Chief Financial Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CFO,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role","Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Desmond Chin Ye Foong|Chief Technology Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CTO (maps to CIO/CTO role),
3,Development FIs,Tabung Haji,CEO: Mustakim Mohamad (since 6 May 2025); Prev: Datuk Syed Hamadah Syed Othman [News: bharian.com.my],,Mustakim Mohamad (Group Exec Dir Finance -> CEO since 6 May 2025) [News: hmetro.com.my],,,,
2,Takaful,Takaful Am General Berhad,,,"Sharmini Perampalam (EVP & Group CFO) [mnrb.com.my, HIGH-90]",,"Abd Ghafur Ahmad (SVP & Group Chief Compliance Officer) [mnrb.com.my, HIGH-90]","Aaron Loo (SVP & Group Chief Transformation Officer) [mnrb.com.my, MEDIUM-65]","Haniza Filzah Hayani Abu Haniffa (SVP & Group Chief Internal Auditor) [mnrb.com.my, HIGH-90]"
2,Takaful,Takaful IKHLAS Berhad,,,"Dato' Rudy Rodzila Che Lamin (Interim President & Group CEO, MNRB/Takaful IKHLAS) [Official: mnrb.com.my]",,,,
3,Development FIs,Tekun Nasional,,,,,,,
2,Insurers,Tokio Marine Life Insurance Malaysia Bhd,"CEO: Kang Yu Fen (Chief Executive Officer) [Official: tokiomarine.com, conf 95]",,Tham Kok Yoke (Chief Financial Officer) [Official: tokiomarine.com],,,,
4,E-Money,Touch 'n Go eWallet (TNG Digital Sdn Bhd),,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Lai Mee Fong|Chief Financial Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CFO,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role","Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Desmond Chin Ye Foong|Chief Technology Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CTO (maps to CIO/CTO role),
4,Card Schemes,Touch n Go Visa Prepaid Card,,,,,,,
3,MSBs,Touch n Go eWallet Sdn Bhd,,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Lai Mee Fong|Chief Financial Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CFO,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role","Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Desmond Chin Ye Foong|Chief Technology Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CTO (maps to CIO/CTO role),
3,MSBs,ToyyibPay Sdn Bhd,,,,,,,
4,Card Schemes,UOB Lazada Visa Card,,,,,,,
1,Licensed Banks,UOB Malaysia Berhad,,Tan Tii Lam (CRO) + Loke Chee Keen Daniel (Compliance) [Group-level composite],Chang Yeong Gung (CFO),Tan Tii Lam (CRO),Loke Chee Keen Daniel (Head Compliance),Mohamad Fazli Bin Mohamad Sarujee (Head Technology & Operations),Wong See Hong Bill (Head Internal Audit)
3,MSBs,Wallex Sdn Bhd,,,,,,,
4,E-Money,WeChat Pay Malaysia (Tencent),,,,,,,
4,E-Money,WeChat Pay Malaysia Sdn Bhd,,,,,,,
3,MSBs,Wise (formerly TransferWise) Malaysia Sdn Bhd,,,,,,,
3,MSBs,Xendit Technologies (Malaysia) Sdn Bhd,,,,,,,
2,Insurers,Zurich Life Insurance Malaysia Berhad,CEO: Pauline Teoh (Chief Executive Officer, Zurich Life Insurance Malaysia Berhad) [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders, conf 95],,,,
2,Takaful,Zurich Takaful Malaysia Berhad,"CEO: Nur Fatihah Mustafa (Interim CEO, Zurich Takaful Malaysia Berhad) [Official: zurich.com.my/about-zurich/the-zurich-story/our-leaders, conf 95]",,,,,,
6,Fintech Registered,iPay88 (M) Sdn Bhd,Alex Wah|Head of IT Cum CISO|70|https://rocketreach.co/ipay88-management_b5e52ecdf42e67ac|iPay88 CISO (RocketReach source - MEDIUM confidence),,,,,,
3,MSBs,iPay88 (Malaysia) Sdn Bhd,Alex Wah|Head of IT Cum CISO|70|https://rocketreach.co/ipay88-management_b5e52ecdf42e67ac|iPay88 CISO (RocketReach source - MEDIUM confidence),,,,,,
1,Licensed Banks,Bank Muamalat Malaysia Berhad,"CEO: Khairul Kamarudin (President and CEO, CEO of the Year 2024 GIFA) [News: nst.com.my, bernama.com]","Nasha Phedra binti Amin (Head, Legal & Secretarial) [Official: muamalat.com.my]",Amirul Nasir Abdul Rahim (Chief Financial Officer) [Official: muamalat.com.my],Hamidi A Razak (Chief Risk Officer) [Official: muamalat.com.my],Wan Kamarudin Wan Omar (Chief Compliance Officer) [Official: muamalat.com.my],Ts. Megat Mohammad Faisal Khir Johari (Chief Technology Officer) [Official: muamalat.com.my],Faidzuel Bin Zain (Chief Internal Auditor) [Official: muamalat.com.my]
