Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit,Stripped Titles
6,Fintech Sandbox,GX Bank Berhad,,Kiyoka Thaam (CRO) + Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my],Kenneth Leong (Chief Financial Officer) [Official: gxbank.my/our-leadership],Kiyoka Thaam (Chief Risk Officer) [Official: gxbank.my/our-leadership],Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my/our-leadership],Nishant Sharma (Chief Technology Officer) [Official: gxbank.my/our-leadership],Karina Sivam (Head of Internal Audit) [Official: gxbank.my/our-leadership],
6,Fintech Sandbox,GXBank Berhad,,Kiyoka Thaam (CRO) + Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my],Kenneth Leong (Chief Financial Officer) [Official: gxbank.my/our-leadership],Kiyoka Thaam (Chief Risk Officer) [Official: gxbank.my/our-leadership],Nadia Farhan Noordin (Head of Compliance) [Official: gxbank.my/our-leadership],Nishant Sharma (Chief Technology Officer) [Official: gxbank.my/our-leadership],Karina Sivam (Head of Internal Audit) [Official: gxbank.my/our-leadership],
2,Takaful,General Takaful Berhad,,"Shizal Fisham bin Ramli (Chief Governance Officer) [takaful-malaysia.com.my, HIGH-90]","New Kheng Chee (Group CFO) [takaful-malaysia.com.my, HIGH-90]",,"Redzuan bin Abu [takaful-malaysia.com.my, HIGH-90]","Nazaruddin Adha bin Md Noor (CTO) [takaful-malaysia.com.my, HIGH-90]","Zuhairi bin Ismail (Chief Internal Auditor) [takaful-malaysia.com.my, HIGH-90]",
2,Insurers,Generali Insurance Malaysia Berhad,,,Tony Lin (Chief Financial Officer) [Official: generali.com.my conf 90],Vincent Fong (Chief Risk Officer) [Official: generali.com.my conf 90],Nor Hakimah Abdul Latiff (Chief Compliance Officer) [Official: generali.com.my],Laurent Crouet (Chief Transformation Officer) [Official: generali.com.my conf 90],Vivian Ho (Chief Internal Auditor) [Official: generali.com.my],
2,Insurers,Generali Life Insurance Malaysia Berhad,,Vincent Fong (CRO) + Aw Teck Yee (Compliance) [Composite],Tony Lin (Chief Financial Officer) [Official: generali.com.my],Vincent Fong (Chief Risk Officer) [Official: generali.com.my],Aw Teck Yee (Head of Compliance & AML) [Official: generali.com.my],,George Tan (Head of Internal Audit) [Official: generali.com.my],
4,E-Money,GrabPay (Grab Malaysia),,,"Peter Oey (Group CFO, Grab Holdings) [Wikipedia/Grab Holdings, conf 75 - Singapore HQ group-level, no Malaysia-specific CFO published]",,,"Suthen Thomas Paradatheth (Group CTO, Grab Holdings) [Wikipedia/Grab Holdings, conf 75 - Singapore HQ group-level, no Malaysia-specific CTO published]",,
2,Insurers,Great Eastern General Insurance (Malaysia) Berhad,,Liza Hanim Zainal Abidin (Legal/Compliance) + Audra Chung Kit Li (Audit),"Cheng Chuen Chee (Chief Financial Officer, assumed role Jul 2024) [Official: greateasternlife.com, conf 95]","Teo Chun Seng (Division Head, Risk Management) [Group role - Official: greateasternlife.com]",Liza Hanim Zainal Abidin,Vincent Chin,Audra Chung Kit Li,
2,Insurers,Great Eastern Life Assurance (Malaysia) Berhad,"Vincent Chin — Division Head, Information Technology (CISO-equivalent: handles technology risk management & IT governance) [Official: greateasternlife.com/my/en/about-us/company-profile/our-leaders/key-executive.html] | conf 75 | No dedicated CISO role listed; IT division covers infosec function.","Liza Hanim Zainal Abidin (Division Head, Company Secretary and Legal) [Official: greateasternlife.com]","Loke Chang Yueh (CFO, joined 2013) [Official: greateasternlife.com]","Teo Chun Seng (Division Head of Risk Management, appointed 1 Jan 2023) [Official: greateasternlife.com]","Helen Quat Li Huang (Division Head of Compliance, appointed 1 Jan 2023) [Official: greateasternlife.com]","Vincent Chin (Head of IT, joined 2007) [Official: greateasternlife.com]","Audra Chung Kit Li (Chief Internal Auditor, joined 2005) [Official: greateasternlife.com]",
2,Takaful,HSBC Amanah Takaful (Malaysia) Berhad,,,"Muhammad Afiq bin Hamzah (Acting Chief Financial Officer) [Official: fwd.com.my/about-us/tkfl/meet-our-team, conf 95 — confirmed. Title is ""Acting CFO""]",,"Lim Weng Leong (Head of Compliance) [Official: fwd.com.my/about-us/tkfl/meet-our-team, conf 95 — confirmed. 1 of 6 executive management team members]",,,
1,Licensed Banks,HSBC Bank Malaysia Berhad,,"Brian McGuire (Chief Risk & Compliance Officer) [TheOfficialBoard]; CEO: Dato Omar Siddiq (CEO and Head of Banking) [Official: hsbc.com.my, conf 95]",Elly Neoh (CFO),Brian McGuire (Chief Risk & Compliance Officer) [TheOfficialBoard],Brian McGuire (Chief Compliance Officer) [TheOfficialBoard],Mei Ling Soo (CIO),,
2,Insurers,Hong Leong Assurance Berhad,Low Tek Chee — Chief Technology Officer (CISO-equivalent) [Official: hla.com.my/en/know-us/leadership.html] | conf 75 | No dedicated CISO/Head of Information Security role among 13 executives. CTO is closest equivalent.,Lim Mei Gie (CRO) + Lee Noushi (Compliance) [Composite],"Ong Kheng Heng (Chief Financial Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Lim Mei Gie (Chief Risk Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Lee Noushi (Head of Legal and Chief Compliance Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]","Low Tek Chee (Chief Technology Officer) [Official: hla.com.my/en/know-us/leadership.html, conf 95]",Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong],
4,Card Schemes,Hong Leong Bank AirMiles Card,"Simon Hoh (CISO) [TheOrg: theorg.com/org/hong-leong-bank/org-chart/dr-simon-hoh, conf 65] [INHERITED from Hong Leong Bank Berhad - product brand governance]",Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite] [INHERITED from Hong Leong Bank Berhad - product brand governance],Malkit Singh (CFO) [The Org - unverified] [INHERITED from Hong Leong Bank Berhad - product brand governance],Justin Soong (Group CRO) [RocketReach] [INHERITED from Hong Leong Bank Berhad - product brand governance],Jack Babani (CCO) [The Org - unverified] [INHERITED from Hong Leong Bank Berhad - product brand governance],William Streitberg (Chief Info & Tech Officer) [The Org] [INHERITED from Hong Leong Bank Berhad - product brand governance],Chua Yew Lim (Chief Internal Auditor) [Official CG Report] [INHERITED from Hong Leong Bank Berhad - product brand governance],Dr.
1,Licensed Banks,Hong Leong Bank Berhad,"Simon Hoh (CISO) [TheOrg: theorg.com/org/hong-leong-bank/org-chart/dr-simon-hoh, conf 65]",Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],Malkit Singh (CFO) [The Org - unverified],Justin Soong (Group CRO) [RocketReach],Jack Babani (CCO) [The Org - unverified],William Streitberg (Chief Info & Tech Officer) [The Org],Chua Yew Lim (Chief Internal Auditor) [Official CG Report],Dr.
2,Investment Banks,Hong Leong Investment Bank Berhad,,Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],Malkit Singh (CFO) [Group-level: Hong Leong Bank],Justin Soong (Group CRO) [Group-level: Hong Leong Bank],Jack Babani (CCO) [Group-level: Hong Leong Bank],William Streitberg (Chief Info & Tech Officer) [Group-level: Hong Leong Bank],Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong Bank],
1,Licensed Banks,Hong Leong Islamic Bank Berhad,"Simon Hoh (CISO) [Group-level: Hong Leong Bank, TheOrg, conf 60]",Justin Soong (CRO) + Jack Babani (Compliance) [Group-level composite],Malkit Singh (CFO) [Group-level: Hong Leong Bank],Justin Soong (Group CRO) [Group-level: Hong Leong Bank],Jack Babani (CCO) [Group-level: Hong Leong Bank],William Streitberg (Chief Info & Tech Officer) [Group-level: Hong Leong Bank],Chua Yew Lim (Chief Internal Auditor) [Group-level: Hong Leong Bank],Dr.
1,Licensed Banks,ICBC (Malaysia) Berhad,,,,,"Liau Cheek [RocketReach, conf 55 — could not verify with official source. ICBC MY website and Pillar 3 PDF (31 Dec 2025) do not mention any compliance officer by name. Downgraded from conf 65.]",,,
3,MSBs,Instarem Sdn Bhd,,,"Andre Mancl (Chief Financial Officer, Nium global) [Official: nium.com/about-us, conf 95]","Amaresh Mohan (Chief Risk and Compliance Officer, Nium global) [Official: nium.com/about-us, conf 95]","Amaresh Mohan (Chief Risk and Compliance Officer, Nium global) [Official: nium.com/about-us, conf 95]","Sekhar Cidambi (Chief Technology Officer, Nium global) [Official: nium.com/about-us, conf 95]",,
1,Licensed Banks,J.P. Morgan Chase Bank Malaysia Berhad,,,,,"Gail Koh De Josselin (Executive Director; CCO SE Asia) [Official CG Statement FY2024, conf 85]",,,
2,Investment Banks,JCL Corporation Sdn Bhd,"ENTITY NON-EXISTENT AS LICENSED INVESTMENT BANK [No match on BNM licensed investment banks list (CIMB IB, Maybank IB, RHB IB, Kenanga IB, AmInvestment, Affin Hwang, Hong Leong IB, Public IB, M&A Securities, KAF IB). No Bursa/SSM record. Likely mislabel or placeholder.]",,,,,,,
5,GLC-Linked,Johor Corporation (JCorp),,"Mohd Azmi Hitam (Chief Governance Officer) [Official: jcorp.com.my/our-leadership, 2026-07-13]","Rozaini Mohd Sani (Chief Financial Officer) [Official: jcorp.com.my/our-leadership, 2026-07-13]",,"Mohd Azmi Hitam (Chief Governance Officer, leads Governance and Risk Division - GRD) [Official: jcorp.com.my/our-leadership + JCorp 2023 Integrated Report PDF, conf 80 - Chief Governance Officer functionally covers compliance; GRD is the functional umbrella for compliance]","Ahmad Yusri Mohamed (Chief Digital Officer) [Official: jcorp.com.my/our-leadership, 2026-07-13]","Mohd Nordin Jamaludin (Chief Corporate Services Officer) [Official: jcorp.com.my/our-leadership + JCorp 2023 Integrated Report PDF, conf 70 - Corporate Services typically encompasses audit, risk, and governance support; Board Audit and Risk Committee (BARC) provides board-level oversight]",
4,Payment Operators,JomPAY (by PayNet),"Meling Mudin (Chief Information Security Officer, PayNet group) [Inherited from PayNet parent per v5.5 leadership-inheritance precedent. Source: Star Cybersecurity Summit 2025 speaker page + LinkedIn + ZoomInfo; conf 95]",,"Tan Wei Tze (Chief Financial Officer, PayNet) [PayNet leadership - JomPAY is a PayNet product, inherited, conf 85]",,,"Teh Lip Guan (Chief Technology Officer, PayNet) [PayNet leadership - JomPAY is a PayNet product, inherited, conf 85]",,
5,GLC-Linked,KWSP Investment Division (Alternative Assets),"Jasmine Goh (Head of Department – Digital Security) [Official: kwsp.gov.my/corporate/about-us/organisation-structure, conf 98]","Nora Badaruddin (Head of Department – Integrity & Corporate Governance) [Official: kwsp.gov.my, conf 98]","Ahmad Rizal Omar (Chief Financial Officer) [Official: kwsp.gov.my, conf 98]","Rozlina Abdul Samad (Head of Department – Risk Management) [Official: kwsp.gov.my, conf 98]","Chong Yee Leng (Head of Department – Operations Compliance) [Official: kwsp.gov.my, conf 98]","Afhzal Abdul Rahman (Chief Digital Technology Officer) [Official: kwsp.gov.my, conf 98]","Mohammad Nasir Ismail (Head of Department – Internal Audit) [Official: kwsp.gov.my, conf 98]",
5,GLC-Linked,KWSP Investment Division (Direct Investments),"Jasmine Goh (Head of Department – Digital Security) [Official: kwsp.gov.my/corporate/about-us/organisation-structure, conf 98]","Nora Badaruddin (Head of Department – Integrity & Corporate Governance) [Official: kwsp.gov.my, conf 98]","Ahmad Rizal Omar (Chief Financial Officer) [Official: kwsp.gov.my, conf 98]","Rozlina Abdul Samad (Head of Department – Risk Management) [Official: kwsp.gov.my, conf 98]","Chong Yee Leng (Head of Department – Operations Compliance) [Official: kwsp.gov.my, conf 98]","Afhzal Abdul Rahman (Chief Digital Technology Officer) [Official: kwsp.gov.my, conf 98]","Mohammad Nasir Ismail (Head of Department – Internal Audit) [Official: kwsp.gov.my, conf 98]",
5,GLC-Linked,KWSP Investment Division (Real Estate),"Jasmine Goh (Head of Department – Digital Security) [Official: kwsp.gov.my/corporate/about-us/organisation-structure, conf 98]","Nora Badaruddin (Head of Department – Integrity & Corporate Governance) [Official: kwsp.gov.my, conf 98]","Ahmad Rizal Omar (Chief Financial Officer) [Official: kwsp.gov.my, conf 98]","Rozlina Abdul Samad (Head of Department – Risk Management) [Official: kwsp.gov.my, conf 98]","Chong Yee Leng (Head of Department – Operations Compliance) [Official: kwsp.gov.my, conf 98]","Afhzal Abdul Rahman (Chief Digital Technology Officer) [Official: kwsp.gov.my, conf 98]","Mohammad Nasir Ismail (Head of Department – Internal Audit) [Official: kwsp.gov.my, conf 98]",
2,Investment Banks,Kenanga Investment Bank Berhad,Low Jia Yee — Chief Technology Officer (CISO-equivalent) [Official: kenanga.com.my/who-we-are/our-people/company/kenanga-investment-bank-berhad/] | conf 75 | No dedicated CISO/Head of IT Security among 25+ executives. CTO is closest equivalent.,Tai Yan Fee (CRO) + Choo Siew Fun (Compliance) [Group-level composite],Cheong Boon Kak (Group Chief Financial & Operations Officer) [Official: kenanga.com.my],Tai Yan Fee (Group Chief Risk Officer) [Official: kenanga.com.my],Choo Siew Fun (Group Chief Compliance & Ethics Officer) [Official: kenanga.com.my],Low Jia Yee (Chief Technology Officer) [Official: kenanga.com.my],Terence Tan Kian Meng (Group Chief Internal Auditor) [Official: kenanga.com.my],
5,GLC-Linked,Khazanah Nasional Berhad,,"Suhana Dewi Selamat (Head, Governance, Risk & Compliance) [Official: khazanah.com.my/Who-We-Are/Leadership, 2026-07-13]","Faridah Bakar Ali (Chief Financial Officer) [Official: khazanah.com.my/Who-We-Are/Leadership, 2026-07-13]","Suhana Dewi Selamat (Head, Governance, Risk & Compliance) [Official: khazanah.com.my, conf 95 - combined GRC+CRO+Compliance role]","Suhana Dewi Selamat (Head, Governance, Risk & Compliance) [Official: khazanah.com.my, conf 95 - combined role]","Hisham Hamdan (Chief Investment Officer) [Official: khazanah.com.my/responsible-stewardship/leadership/executive-management, conf 95]",,Dato'; Datuk
5,GLC-Linked,Kumpulan Wang Simpanan Pekerja (KWSP),"Jasmine Goh (Head of Digital Security) [kwsp.gov.my via Wayback, MEDIUM-75]","Mohd Dali Jasmin (Head of Integrity & Corporate Governance) [kwsp.gov.my via Wayback, MEDIUM-75]","Mohamad Hafiz Kassim (Chief Finance Officer) [kwsp.gov.my via Wayback, MEDIUM-75]","Rozlina Abd Samad (Head of Risk Management) [kwsp.gov.my via Wayback, MEDIUM-75]","Chong Yee Leng (Head of Operational Compliance) [kwsp.gov.my via Wayback, MEDIUM-75]","Afhzal Abdul Rahman (Chief Digital Technology Officer) [kwsp.gov.my via Wayback, MEDIUM-75]","Mohammad Nasir Ismail (Head of Internal Audit) [kwsp.gov.my via Wayback, MEDIUM-75]",
2,Insurers,Kurnia Insurans (Malaysia) Berhad,,rebranded as Zurich General Insurance Malaysia Berhad,,,"Peter Ong (Chief Compliance Officer) [The Org: theorg.com/org/amgeneral-insurance-berhad, conf 60 - marked Unverified]","Ganesan Vaithilingam (CIO) [The Org: theorg.com/org/amgeneral-insurance-berhad, conf 60 - marked Unverified]; CEO: Puneet Pasricha (CEO, AmGeneral Insurance Berhad) [Official: amassurance.com.my, conf 90]","Tan Bee Chuan (Chief Internal Auditor) [The Org: theorg.com/org/amgeneral-insurance-berhad, conf 60 - marked Unverified]",
5,GLC-Linked,Lembaga Tabung Haji,"Shamsul Kamal Hussein Kamal (Chief Information Technology Officer, CISO-equivalent) [Official: tabunghaji.gov.my/peneraju-th, conf 75]",Syahril Nizam Abu Hasan (Chief Risk & Compliance Officer) + Mohd Hasraff Hashim (Head of Integrity & Governance) [Composite] [Official: tabunghaji.gov.my/peneraju-th],"Shamsul Bahar Shamsudin (Group Executive Director, Finance) [Official: tabunghaji.gov.my/peneraju-th]; Mustakim Mohamad (was Group Exec Dir Finance, now CEO since 6 May 2025) [News: bharian.com.my]",Syahril Nizam Abu Hasan (Chief Risk & Compliance Officer) [Official: tabunghaji.gov.my/peneraju-th],Syahril Nizam Abu Hasan (Chief Risk & Compliance Officer) [Official: tabunghaji.gov.my/peneraju-th],Shamsul Kamal Hussein Kamal (Chief Information Technology Officer) [Official: tabunghaji.gov.my/peneraju-th],Abu Bakar Baba (Group Chief Internal Auditor) [Official: tabunghaji.gov.my/peneraju-th],
2,Insurers,Liberty General Insurance Berhad,"Ganesan Vaithilingam — Chief Information Officer (CISO-equivalent: responsibilities include ""information security"" and ""Secure IT environment development"") [Official: libertyinsurance.com.my/corporate/management-team] | conf 72 | No dedicated CISO role; CIO handles infosec.",Jonathan Chong (CRO) + Suffian bin Abdul Rahman (Compliance) [Group-level composite],Suppiah Poongavanam (Chief Financial Officer) [Wayback Machine: libertyinsurance.com.my],Jonathan Chong (Chief Risk Officer) [Wayback Machine: libertyinsurance.com.my],Suffian bin Abdul Rahman (Chief Compliance Officer) [Wayback Machine: libertyinsurance.com.my],Ganesan Vaithilingam (Chief Information Officer) [Wayback Machine: libertyinsurance.com.my],Tan Bee Chuan (Chief Internal Auditor) [Wayback Machine: libertyinsurance.com.my],
2,Insurers,Lonpac Insurance Bhd,Lai Geng Farn (Chief Information Security Officer) [Official: lonpac.com],Lee Chiew Lai (CRO) + Mahinder Kaur a/p Kapal Singh (Compliance) [Composite],"Ng Seng Khin (Group Chief Financial Officer, designated 24 Jan 2025; CFO of Lonpac since 2019) [Official: lpicapital.com/about-us/management-team, conf 90]",Lee Chiew Lai (Chief Risk Officer) [Official: lonpac.com],Mahinder Kaur a/p Kapal Singh (Chief Compliance Officer) [Official: lonpac.com],Cynthia Ng Boon Howe (Chief Information Officer) [Official: lonpac.com],"Irene Hwang Siew Ling (Group Chief Internal Auditor, designated 24 Jan 2025; Chief Internal Auditor of Lonpac since 1998; MIA CA, CPA Malaysia) [Official: lpicapital.com/about-us/management-team, conf 90]",
4,E-Money,MAE by Maybank (Maybank Islamic),Devinder Singh (Group CISO) [Group-level: Maybank] [INHERITED from Maybank Islamic Berhad - product brand governance],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank] [INHERITED from Maybank Islamic Berhad - product brand governance],Shafiq Abdul Jabbar (Group CFO) [Group-level: Maybank] [INHERITED from Maybank Islamic Berhad - product brand governance],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank] [INHERITED from Maybank Islamic Berhad - product brand governance],Inn Yiow (Group Chief Compliance Officer) [Group-level: Maybank] [INHERITED from Maybank Islamic Berhad - product brand governance],Giorgio Migliarina (Group Chief Technology & Digital Officer) [Group-level: Maybank] [INHERITED from Maybank Islamic Berhad - product brand governance],"Malique Firdauz Ahmad Sidique (Group Chief Audit Executive, Maybank Group) [Official: freemalaysiatoday.com, conf 85 - Group-level, effective Oct 2025] [INHERITED from Maybank Islamic Berhad - product brand governance]",
4,E-Money,MAE by Maybank (Maybank2u),Devinder Singh (Group CISO) [LinkedIn/The Org] [INHERITED from Maybank Berhad - product brand governance],Mohamed Rezwan Abdullah Ismail (Group CRO) + Inn Yiow (Group CCO) [Group-level: Maybank] [INHERITED from Maybank Berhad - product brand governance],Shafiq Abdul Jabbar [INHERITED from Maybank Berhad - product brand governance],Mohamed Rezwan Abdullah Ismail [INHERITED from Maybank Berhad - product brand governance],Inn Yiow (Group Chief Compliance Officer) [RocketReach/ZoomInfo] [INHERITED from Maybank Berhad - product brand governance],Giorgio Migliarina (Group Chief Technology & Digital Officer) [INHERITED from Maybank Berhad - product brand governance],Azian Ismail (Chief Audit Executive) [TheOrg] [INHERITED from Maybank Berhad - product brand governance],
3,Development FIs,MARA,,,,,,"Azmi bin Amat Murjan (Timbalan Ketua Pengarah MARA (Khidmat Pengurusan) / Ketua Pegawai Digital (CDO) - title is CDO not strictly CIO; portfolio includes cybersecurity action plan coordination) [Official: mara.gov.my, conf 80 - TITLE CORRECTED from CIO to CDO per Wikipedia verification]",,Dr.
5,GLC-Linked,MARA (Majlis Amanah Rakyat),,,,,,"Azmi bin Amat Murjan (Timbalan Ketua Pengarah MARA (Khidmat Pengurusan) / Ketua Pegawai Digital (CDO) - title is CDO not strictly CIO; portfolio includes cybersecurity action plan coordination) [Official: mara.gov.my, conf 80 - TITLE CORRECTED from CIO to CDO per Wikipedia verification]",,Dr.
2,Insurers,MCIS Insurance Berhad,,,Susan Conradie (Chief Financial Officer) [Official: mcis.my],"Nurliana binti Mat Lazim (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 90]",Norlin Fatima Albakri (Chief Compliance Officer) [Official: mcis.my],Ng Chee Sang (Chief Technology Officer) [Official: mcis.my],Noor Hayati binti Abu Yaziz (Chief Internal Auditor) [Official: mcis.my],
2,Investment Banks,MIDF Amanah Investment Bank Berhad,,Nor Azita Binti Sarip (SVP/Head Group Secretarial & Legal) [Official: midf.com.my],"Shahnaz Jammal (Group Chief Financial Officer, MBSB Bank) [Official: mbsb.com/corporate_about_team.html, conf 80 - Group-level]","Laurence Ong Wooi Keat (Group Chief Risk Officer, MBSB Bank) [Official: mbsb.com/corporate_about_team.html, conf 80 - Group-level]",Meor Ibrahim Othman (SVP/Head Group Compliance) [Official: midf.com.my],"Noor Azman Bin Abdul Karim (Group Chief Technology Officer, MBSB Bank) [Official: mbsb.com/corporate_about_team.html, conf 80 - Group-level]",Zanariah Daud (SVP/Head Group Control Assurance) [Official: midf.com.my],
2,Insurers,MSIG Insurance (Malaysia) Bhd,,,"Soh Lai Sim (COO, also Officer primarily responsible for financial management) [Official: MSIG Annual Report 2025]","Kelvin Hii Chee Yun (SVP, Enterprise Risk Management) [Official: MSIG Annual Report 2025]",,"Chin Jee Gwan (EVP IT, Digital, Bancassurance & Branding) [Official: MSIG Annual Report 2025]",,
2,Investment Banks,Malaysia International Islamic Bank IB,"ENTITY NON-EXISTENT [No match on BNM licensed Islamic banks list (Bank Islam, Bank Muamalat, Maybank Islamic, CIMB Islamic, RHB Islamic, Hong Leong Islamic, AmIslamic, Affin Islamic, Public Bank Islamic, KFH, Bank Rakyat, Agrobank). No BNM/Bursa/SSM record. Likely mislabel or placeholder.]","ENTITY NON-EXISTENT [Entity does not exist as a licensed Islamic bank in Malaysia. Not on BNM-sourced Wikipedia list of 18 licensed Islamic banks. Source: en.wikipedia.org/wiki/List_of_banks_in_Malaysia, conf 0]","ENTITY NON-EXISTENT [Entity does not exist as a licensed Islamic bank in Malaysia. Source: en.wikipedia.org/wiki/List_of_banks_in_Malaysia, conf 0]","ENTITY NON-EXISTENT [Entity does not exist as a licensed Islamic bank in Malaysia. Source: en.wikipedia.org/wiki/List_of_banks_in_Malaysia, conf 0]","ENTITY NON-EXISTENT [Entity does not exist as a licensed Islamic bank in Malaysia. Source: en.wikipedia.org/wiki/List_of_banks_in_Malaysia, conf 0]","ENTITY NON-EXISTENT [Entity does not exist as a licensed Islamic bank in Malaysia. Source: en.wikipedia.org/wiki/List_of_banks_in_Malaysia, conf 0]","ENTITY NON-EXISTENT [Entity does not exist as a licensed Islamic bank in Malaysia. Source: en.wikipedia.org/wiki/List_of_banks_in_Malaysia, conf 0]",
2,Insurers,Manulife Insurance Berhad,,,"Ng Chun Nam (Chief Financial Officer) [Official: Manulife Annual Report 2024, conf 85]","Mohd Naim Mohd Arsad (Chief Risk Officer) [Malaysian Insurance Directory 2025/2026, conf 90]","Senthil Woon (Chief Compliance Officer) [RocketReach, conf 50]; CEO: Vibha Hamsi Coburn (confirmed [Official: manulife.com.my board page, conf 95]); Board Risk Cmte Chair: Arthur Jay Belfer; Audit Cmte Chair: Vijayam Nadarajah [Official: manulife.com.my]","Bernard Sia (Chief Information Officer) [Official: Manulife Annual Report 2024, conf 85]",,
2,Takaful,Manulife Takaful Malaysia Berhad,,,"Ng Chun Nam (Chief Financial Officer, Manulife Insurance Berhad - management shared) [Official: Manulife Annual Report 2024, conf 85]","Mohd Naim Bin Mohd Arsad (Chief Risk Officer, Manulife Insurance Berhad - management shared) [Official: Manulife Holdings Berhad Annual Report 2025, p.13 Key Senior Management's Profile, conf 85]","Senthil Woon Wai Keong (Chief Compliance Officer, Manulife Insurance Berhad - management shared) [Official: Manulife Holdings Berhad Annual Report 2025, p.13 Key Senior Management's Profile, conf 85]","Bernard Sia (Chief Information Officer, Manulife Insurance Berhad - management shared) [Official: Manulife Annual Report 2024, conf 85]","Krishna Rajaa Ramalingam (Head of Audit Services - Malaysia) [Official: Manulife Holdings Berhad Annual Report 2025, p.91 Group Audit Committee Report, conf 90 - CIA, FAIA. Scope covers all Manulife Malaysia entities including Takaful]",
5,GLC-Linked,Maybank (Khazanah-linked),"DUPLICATE OF MAYBANK BERHAD [Already at 7/7 in DB. This ""Khazanah-linked"" entry is the same entity (Khazanah holds ~11.5% of Maybank). Recommend removing row or marking as duplicate. Do NOT re-research.]",,,,,,,
1,Licensed Banks,Maybank Berhad,Devinder Singh (Group CISO) [LinkedIn/The Org],Mohamed Rezwan Abdullah Ismail (Group CRO) + Inn Yiow (Group CCO) [Group-level: Maybank],Shafiq Abdul Jabbar,Mohamed Rezwan Abdullah Ismail,Inn Yiow (Group Chief Compliance Officer) [RocketReach/ZoomInfo],Giorgio Migliarina (Group Chief Technology & Digital Officer),Azian Ismail (Chief Audit Executive) [TheOrg],
4,Card Schemes,Maybank Cash & Go Prepaid Card,Devinder Singh (Group CISO) [LinkedIn/The Org] [INHERITED from Maybank Berhad - product brand governance],Mohamed Rezwan Abdullah Ismail (Group CRO) + Inn Yiow (Group CCO) [Group-level: Maybank] [INHERITED from Maybank Berhad - product brand governance],Shafiq Abdul Jabbar [INHERITED from Maybank Berhad - product brand governance],Mohamed Rezwan Abdullah Ismail [INHERITED from Maybank Berhad - product brand governance],Inn Yiow (Group Chief Compliance Officer) [RocketReach/ZoomInfo] [INHERITED from Maybank Berhad - product brand governance],Giorgio Migliarina (Group Chief Technology & Digital Officer) [INHERITED from Maybank Berhad - product brand governance],Azian Ismail (Chief Audit Executive) [TheOrg] [INHERITED from Maybank Berhad - product brand governance],
2,Investment Banks,Maybank Investment Bank Berhad,,,"Ezrina Mahadzir (CFO, appointed 1 Apr 2021) [Official: maybank2u.com.my]","Cheryl Cheng Siew Ying (CRO, appointed 1 Jan 2021) [Official: maybank2u.com.my]","Farhan Nor Diyana Samsudin (Chief Compliance Officer, Maybank Investment Bank Berhad) [Official: Maybank IB SORMIC FY2023 (Statement on Risk Management and Internal Control, FY ended 31 Dec 2023) — ""Reviewed and cleared by: Group Audit Compliance: Farhan Nor Diyana Samsudin, Chief Compliance Officer, Maybank Investment Bank Berhad""; maybank2u.com.my iwov-resources PDF, conf 90]","Adrian Tan Kai Thern (Head of IT, joined 25 Apr 2022) [Official: maybank2u.com.my]","Rafirah Muhammad Arif (Chief Audit Executive, Maybank Investment Bank Berhad) [Official: Maybank IB SORMIC FY2023 — ""The GCAE is assisted by Puan Rafirah Muhammad Arif, the Chief Audit Executive (CAE) appointed to oversee the IA function of Maybank IB""; Certified Fraud Examiner, 13 years capital market experience; maybank2u.com.my iwov-resources PDF, conf 90]",
1,Licensed Banks,Maybank Islamic Berhad,Devinder Singh (Group CISO) [Group-level: Maybank],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank],Shafiq Abdul Jabbar (Group CFO) [Group-level: Maybank],Mohamed Rezwan Abdullah Ismail (Group CRO) [Group-level: Maybank],Inn Yiow (Group Chief Compliance Officer) [Group-level: Maybank],Giorgio Migliarina (Group Chief Technology & Digital Officer) [Group-level: Maybank],"Malique Firdauz Ahmad Sidique (Group Chief Audit Executive, Maybank Group) [Official: freemalaysiatoday.com, conf 85 - Group-level, effective Oct 2025]",
