Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
1,Licensed Banks,RHB Islamic Bank Berhad,Soon Yap,Azman Shah Md Yaman,Mohamed Bin Rastam Shahrom,Dr Chong Han Hwee,Fazlina Mohamed Ghazalli,Wong Kwang Leh,Tan Boon Ching
4,Card Schemes,RHB Shell Visa Card,Soon Yap,Azman Shah Md Yaman,Mohamed Bin Rastam Shahrom,Dr Chong Han Hwee,Fazlina Mohamed Ghazalli,Wong Kwang Leh,Tan Boon Ching
4,E-Money,Razer Pay (Razer Fintech),NOT FOUND,,,,,,
4,E-Money,Razer Pay Malaysia Sdn Bhd,ENTITY DEFUNCT,,,,,,
6,Fintech Sandbox,Ryt Bank Berhad,NOT FOUND,NOT FOUND,Wilson Soon,Yeoh Xin Yi,Muhammad Nasir Bin Hassan,Nic Ngoo,NOT FOUND
6,Fintech Sandbox,Ryt Bank Berhad (YTL Digital),NOT FOUND,NOT FOUND,Wilson Soon,Yeoh Xin Yi,Muhammad Nasir Bin Hassan,Nic Ngoo,NOT FOUND
3,Development FIs,SME Bank Berhad,Hairil Izwar Abd Rahman,"Mohammad Azam Ahmad, Rosehamidi Kamaruddin","Hee Wei Jean, Samad Majid Zain",Mohammad Azam Ahmad,Rosehamidi Kamaruddin,Hairil Izwar Abd Rahman,Hasrul Farid Hasnan
5,GLC-Linked,Sabah State Financial Corporation (SSFC),NOT FOUND,,,,,,
5,GLC-Linked,Sarawak State Financial Corporation (SSFC),NOT FOUND,Cik Khartini Johari,Encik Leo Lanaiwong,Cik Khartini Johari,Jason Minos,Tuan Haji Nor Azlan Husaini,Encik Yap Yien Chiang
6,Fintech Sandbox,SeaBank Malaysia Berhad,NOT FOUND,,,,,,
3,MSBs,SenangPay Sdn Bhd,,,Mohd Mutalib,,,,
4,E-Money,Setel (PETRONAS Dagangan),NOT FOUND,,Mazlie Minhat,,,Sazlina Ahamad,Nik Fariza Nik Hamdan
4,E-Money,Setel by PETRONAS Dagangan Berhad,NOT FOUND,,Mazlie Minhat,,,Sazlina Ahamad,Nik Fariza Nik Hamdan
4,E-Money,ShopeePay (Monee Malaysia),NOT FOUND,,Tony Hou,,,,
4,E-Money,ShopeePay Malaysia Sdn Bhd,NOT FOUND,,Tony Hou,,,,
6,Fintech Sandbox,Soft Space Sdn Bhd,NOT FOUND,,,,,,
1,Licensed Banks,Standard Chartered Bank Malaysia Berhad,Sivanathan Subramaniam,"Ong Gaik Ean, Irene Tan",Mushahid Syed,Ong Gaik Ean,Irene Tan,Joy Chowdhury,Praveen Sankaranarayan
4,Card Schemes,Standard Chartered Shopee Visa Card,Sivanathan Subramaniam,"Ong Gaik Ean, Irene Tan",Mushahid Syed,Ong Gaik Ean,Irene Tan,Joy Chowdhury,Praveen Sankaranarayan
6,Fintech Registered,Stripe Payments Malaysia Sdn Bhd,NOT FOUND,,,,,,
1,Licensed Banks,Sumitomo Mitsui Banking Corporation Malaysia Berhad,NOT FOUND,,Norihiro Oyanagi,Lim Tuang Ooi,,,Lo Nyen Khing
2,Insurers,Sun Life Malaysia Assurance Berhad,NOT FOUND,"Board Chairman: Dato' Noorazman Abd. Aziz, RMC Chair: Nigel Hazell",Lim Chin Har / Chew Lim,Nigel Hazell,,,Wong Ah Kow
" CEO) [Official: sunlifemalaysia.com]""",,,,,,,,,
5,GLC-Linked,Syarikat Jaminan Pembiayaan Perniagaan (SJPP),,Juanita Rusmini binti Abdul Jalil,,,,,
2,Takaful,Syarikat Takaful Malaysia Berhad,NOT FOUND,Shizal Fisham bin Ramli,New Kheng Chee,NOT FOUND,Redzuan bin Abu,Nazaruddin Adha bin Md Noor,Zuhairi bin Ismail
4,E-Money,TNG Digital Sdn Bhd,,Dunstan Gerald Maurice,Lai Mee Fong,Dunstan Gerald Maurice,Dunstan Gerald Maurice,Desmond Chin Ye Foong,
3,Development FIs,Tabung Haji,Shamsul Kamal Hussein Kamal,"Syahril Nizam Abu Hasan, Mohd Hasraff Hashim","Shamsul Bahar Shamsudin, Mustakim Mohamad",Syahril Nizam Abu Hasan,Syahril Nizam Abu Hasan,Shamsul Kamal Hussein Kamal,Abu Bakar Baba
2,Takaful,Takaful Am General Berhad,NOT FOUND,Shizal Fisham bin Ramli,Sharmini Perampalam,NOT FOUND,Abd Ghafur Ahmad,Aaron Loo,Haniza Filzah Hayani Abu Haniffa
2,Takaful,Takaful IKHLAS Berhad,NOT FOUND,Abd Ghafur Ahmad,Sharmini Perampalam,NOT FOUND,Abd Ghafur Ahmad,Lee Kok Seong,Haniza Filzah Hayani Abu Haniffa
3,Development FIs,Tekun Nasional,NOT FOUND,NOT FOUND,Hj. Aishamuddin bin Zulkefli,Hj Mohamad Razman bin Razak,Jalilah Che Bidin,Hj. Muhammad Yusman bin Yusoff,Md Rukemi bin Ishak
2,Insurers,Tokio Marine Life Insurance Malaysia Bhd,NOT FOUND,NOT FOUND,Tham Kok Yoke,Andrew Ngou Chee Mun,Loh Chee Hoong,Nicholas Tan Chin Yau,Wong Kah Keong
4,E-Money,Touch 'n Go eWallet (TNG Digital Sdn Bhd),,Dunstan Gerald Maurice,Lai Mee Fong,Dunstan Gerald Maurice,Dunstan Gerald Maurice,Desmond Chin Ye Foong,
4,Card Schemes,Touch n Go Visa Prepaid Card,,Dunstan Gerald Maurice,Lai Mee Fong,Dunstan Gerald Maurice,Dunstan Gerald Maurice,Desmond Chin Ye Foong,
3,MSBs,Touch n Go eWallet Sdn Bhd,,Dunstan Gerald Maurice,Lai Mee Fong,Dunstan Gerald Maurice,Dunstan Gerald Maurice,Desmond Chin Ye Foong,
3,MSBs,ToyyibPay Sdn Bhd,NOT FOUND,,,,,,
4,Card Schemes,UOB Lazada Visa Card,Tobias Gondrom,"Tan Tii Lam, Loke Chee Keen Daniel",Chang Yeong Gung,Tan Tii Lam,Loke Chee Keen Daniel,Mohamad Fazli Bin Mohamad Sarujee,Wong See Hong Bill
1,Licensed Banks,UOB Malaysia Berhad,Tobias Gondrom,"Tan Tii Lam, Loke Chee Keen Daniel",Chang Yeong Gung,Tan Tii Lam,Loke Chee Keen Daniel,Mohamad Fazli Bin Mohamad Sarujee,Wong See Hong Bill
3,MSBs,Wallex Sdn Bhd,NOT FOUND,,,,"Dee Patria Adithana, GRCP",,
4,E-Money,WeChat Pay Malaysia (Tencent),,,,,,,
4,E-Money,WeChat Pay Malaysia Sdn Bhd,,,,,,,
3,MSBs,Wise (formerly TransferWise) Malaysia Sdn Bhd,,,Emmanuel Thomassin,,Nita Patel,Harsh Sinha,
3,MSBs,Xendit Technologies (Malaysia) Sdn Bhd,NOT FOUND,,,,,Bo Chen,
2,Insurers,Zurich Life Insurance Malaysia Berhad,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Onn Kien Hoe
2,Takaful,Zurich Takaful Malaysia Berhad,NOT FOUND,,,,,,
6,Fintech Registered,iPay88 (M) Sdn Bhd,Alex Wah,,,,,,
3,MSBs,iPay88 (Malaysia) Sdn Bhd,Alex Wah,,,,,,
1,Licensed Banks,Bank Muamalat Malaysia Berhad,NOT FOUND,Nasha Phedra binti Amin,Amirul Nasir Abdul Rahim,Hamidi A Razak,Wan Kamarudin Wan Omar,Ts. Megat Mohammad Faisal Khir Johari,Faidzuel Bin Zain
1,Licensed Banks,Sumitomo Mitsui Banking Corporation Malaysia Berhad,NOT FOUND,,Norihiro Oyanagi,,,,
5,GLC-Linked,Permodalan BSN Berhad (PBSNB),,,,,,,
5,GLC-Linked,Johor Corporation (JCorp),,,,,,,
5,GLC-Linked,Permodalan Negeri Selangor Berhad (PNSB),,,,,,,
5,GLC-Linked,Permodalan Negeri Selangor Berhad (PNSB),,,,,,,
5,GLC-Linked,Johor Corporation (JCorp),,,,,,,
4,E-Money,Setel (PETRONAS Dagangan),,,,,,,
4,E-Money,Setel (PETRONAS Dagangan),,,,,,,
3,MSBs,Wise (formerly TransferWise) Malaysia Sdn Bhd,,,,,,,
4,E-Money,Setel by PETRONAS Dagangan Berhad,,,,,,,
4,E-Money,Setel by PETRONAS Dagangan Berhad,,,,,,,
